trial_id,short_trial_name,safety_concept,source_pair,five_state_status,generated_comparison_count,grade_A_or_B_count,confirmed_analysis_ready_count,grade_C_count
TRIAL011,GO29365,adverse_event_leading_to_discontinuation,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,adverse_event_leading_to_discontinuation,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,dose_interruption,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,dose_interruption,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,dose_interruption,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,dose_reduction,publication vs FDA review,reported_but_non_comparable,2,0,0,2
TRIAL011,GO29365,dose_reduction,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,dose_reduction,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL012,LOTIS-2,any_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL012,LOTIS-2,any_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL012,LOTIS-2,any_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL012,LOTIS-2,grade_3_or_higher_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL012,LOTIS-2,grade_3_or_higher_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL012,LOTIS-2,grade_3_or_higher_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL012,LOTIS-2,serious_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL012,LOTIS-2,serious_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,1,0,0,1
